GEO_id,GEO_id2,GEO_display-label,Total_households,no_internet_households
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - No Internet access
1400000US42001030101,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",979,116
1400000US42001030102,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",2135,184
1400000US42001030200,42001030200,"Census Tract 302, Adams County, Pennsylvania",1927,518
1400000US42001030300,42001030300,"Census Tract 303, Adams County, Pennsylvania",1512,383
1400000US42001030400,42001030400,"Census Tract 304, Adams County, Pennsylvania",2298,368
1400000US42001030500,42001030500,"Census Tract 305, Adams County, Pennsylvania",1454,346
1400000US42001030600,42001030600,"Census Tract 306, Adams County, Pennsylvania",1726,402
1400000US42001030700,42001030700,"Census Tract 307, Adams County, Pennsylvania",2635,426
1400000US42001030800,42001030800,"Census Tract 308, Adams County, Pennsylvania",2876,548
1400000US42001030900,42001030900,"Census Tract 309, Adams County, Pennsylvania",2909,788
1400000US42001031000,42001031000,"Census Tract 310, Adams County, Pennsylvania",661,114
1400000US42001031101,42001031101,"Census Tract 311.01, Adams County, Pennsylvania",2318,635
1400000US42001031102,42001031102,"Census Tract 311.02, Adams County, Pennsylvania",1306,143
1400000US42001031201,42001031201,"Census Tract 312.01, Adams County, Pennsylvania",1534,208
1400000US42001031202,42001031202,"Census Tract 312.02, Adams County, Pennsylvania",1008,183
1400000US42001031203,42001031203,"Census Tract 312.03, Adams County, Pennsylvania",1199,162
1400000US42001031300,42001031300,"Census Tract 313, Adams County, Pennsylvania",1843,375
1400000US42001031401,42001031401,"Census Tract 314.01, Adams County, Pennsylvania",1641,244
1400000US42001031402,42001031402,"Census Tract 314.02, Adams County, Pennsylvania",840,173
1400000US42001031501,42001031501,"Census Tract 315.01, Adams County, Pennsylvania",527,138
1400000US42001031502,42001031502,"Census Tract 315.02, Adams County, Pennsylvania",1758,532
1400000US42001031600,42001031600,"Census Tract 316, Adams County, Pennsylvania",2703,238
1400000US42001031700,42001031700,"Census Tract 317, Adams County, Pennsylvania",1029,257
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",291,46
